name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients,calories,total_fat,sugar,sodium,protein,saturated_fat,carbohydrates
crispy crunchy  chicken,83873.0,35.0,108291.0,2004-02-13,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'healthy', 'main-dish', 'dietary', 'low-saturated-fat', 'low-in-something']","[335.8, 11.0, 2.0, 24.0, 64.0, 10.0, 10.0]",8.0,"['combine soup , egg and seasoned salt in a bowl and set aside', 'mix together flour , cornstarch , garlic powder , paprika , salt and pepper in a resealable plastic bag', 'dip chicken pieces into soup mixture and turn so as to coat all over', 'place chicken pieces in bag with flour mixture , seal bag and shake to coat chicken', 'place coated pieces of chicken on a platter and allow to set until the coating becomes doughy', 'heat oil in a deep fryer or in a skillet over medium heat , using enough oil to cover chicken pieces when fried', 'once chicken is doughy , fry pieces in oil for approx 5-8 minutes or until cooked through and juices run clear', 'drain pieces on paper towel and serve']","delicious, crunchy fried chicken. this recipe came from the ","boneless skinless chicken breast halves, condensed cream of chicken soup, egg, seasoning salt, all-purpose flour, cornstarch, garlic powder, paprika, salt and pepper, oil",10.0,335.8,11.0,2.0,24.0,64.0,10.0,10.0
deep fried dessert thingys,107699.0,20.0,158966.0,2005-01-05,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'low-protein', 'desserts', 'deep-fry', 'stove-top', 'dietary', 'high-calcium', 'high-in-something', 'low-in-something', 'taste-mood', 'sweet', 'equipment', 'technique']","[1663.3, 221.0, 168.0, 66.0, 19.0, 158.0, 29.0]",20.0,"['in a large bowl , mix flour , granulated sugar , baking powder and salt', 'make a well in the center of the flour mixture , and pour in milk , vanilla , egg and 2 tablespoons oil', 'mix until smooth', 'heat remaining vegetable oil to 400 degrees in a small deep fryer', 'oil is hot enough when it starts to ripple', 'be careful not to overheat', 'butter one side of each bread slice', 'sprinkle the brown sugar and cinnamon evenly onto the buttered side of the bread slices', 'make sandwiches by placing the slices of bread together with the brown sugar on the inside', 'cut the sandwiches into quarters', 'now is a good time to test the oil by dropping in a very small amount of batter', 'batter should sizzle and brown in about 20 seconds', 'oil needs to be hot enough to melt the brown sugar inside the sandwiches but not so hot that it scorches the batter', 'dip the sandwiches into the batter mixture', 'using deep fryer tongs , carefully place the battered sandwiches into the heated oil', 'be cautious when deep frying', 'try to avoid burns from splattering hot oil', 'remove sandwiches from the oil when they are golden brown', 'set aside to cool for a couple of minutes', 'sprinkle with powdered sugar and serve']",my mother used to make this for us as a special treat. i don't know where she got this recipe or what it is called (hence the title). my husband loves this and encouraged me to submit it. this recipe is full of sugar and oil and is as unhealthy as a desert can be but very yummy.,"all-purpose flour, granulated sugar, baking powder, salt, vanilla extract, egg, milk, vegetable oil, bread, brown sugar, ground cinnamon, butter, powdered sugar",13.0,1663.3,221.0,168.0,66.0,19.0,158.0,29.0
easiest ever  hollandaise sauce,49262.0,25.0,64428.0,2002-12-19,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'very-low-carbs', 'sauces', 'condiments-etc', 'eggs-dairy', 'eggs', 'stove-top', 'dietary', 'low-carb', 'savory-sauces', 'low-in-something', 'equipment', 'number-of-servings']","[1290.4, 213.0, 4.0, 53.0, 22.0, 417.0, 1.0]",7.0,"['cut the butter into several pieces and bring to room temperature', 'in the top of a double boiler , combine egg yolks , lemon juice , salt and pepper', 'add a piece of butter', 'cook , stirring steadily with a wooden spoon or wire whisk , over , but not touching , boiling water', 'when butter melts and sauce begins to thicken , add remaining butter , stirring constantly until melted', 'continue cooking as sauce thickens , about 2 more minutes', 'immediately remove from heat']","the secret to this easy hollandaise sauce is in separating the egg yolks. remove all the egg whites, as they can thin the sauce. also, it is best prepared in a double boiler to prevent overheating. serve over cooked asparagus, broccoli, or broiled tomatoes.","butter, lemon, juice of, salt, white pepper, egg yolks",5.0,1290.4,213.0,4.0,53.0,22.0,417.0,1.0
emotional balance  spice mixture,48156.0,10.0,6164.0,2002-12-09,"['15-minutes-or-less', 'time-to-make', 'course', 'cuisine', 'preparation', 'condiments-etc', 'asian', 'indian', 'easy', 'no-cook', 'vegetarian', 'herb-and-spice-mixes', 'food-processor-blender', 'dietary', 'cooking-mixes', 'equipment', 'small-appliance', 'number-of-servings', '3-steps-or-less', 'technique']","[182.7, 11.0, 4.0, 1.0, 13.0, 4.0, 10.0]",2.0,"['mix the spices together and store in an airtight container', 'saute small amounts in butter / ghee to spice vegetables and grains']",really an effective spice blend...i got it in one of maharishi ayurveda newsletters and thought of sharing here !hope this will help you melt your blues away.. :-)),"ground black pepper, ground ginger, ground coriander, ground cumin, ground turmeric, black cumin",6.0,182.7,11.0,4.0,1.0,13.0,4.0,10.0
fool the meat eaters  chili,54272.0,40.0,40525.0,2003-02-17,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'lunch', 'main-dish', 'beans', 'vegetables', 'easy', 'beginner-cook', 'fall', 'vegan', 'vegetarian', 'winter', 'chili', 'stove-top', 'dietary', 'spicy', 'one-dish-meal', 'seasonal', 'comfort-food', 'inexpensive', 'peppers', 'taste-mood', 'equipment', 'number-of-servings', 'presentation', 'served-cold']","[295.6, 3.0, 56.0, 76.0, 32.0, 1.0, 18.0]",9.0,"['rehydrate tvp if needed', 'spray or oil a large pot', 'chop the onion , hot peppers , and garlic and add to the pot', 'chop remaining vegetables , add to pot and brown lightly', 'add remaining ingredients', 'stir well and simmer at least 15 minutes', 'taste adjust spices to taste', 'simmer an additional 15 minutes or so', 'serve with garlic bread , toast , or on rice']","this recipe was adapted by my mother and myself from meat chili. we fed it to my dad and only told him afterwards it wasn't meat - he couldn't tell the difference! this is a fast and filling meal and is even better, cold or warm, the next day! i serve leftovers with tortilla chips or in a wrap. also good with sour cream and/or cheese on top.","vegetarian ground beef, garlic, onion, jalapenos, green pepper, celery, kidney beans, diced tomatoes, chili powder, black pepper, salt, red pepper flakes",12.0,295.6,3.0,56.0,76.0,32.0,1.0,18.0
forgotten  minestrone,47366.0,495.0,31871.0,2002-11-21,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'soups-stews', 'beef', 'crock-pot-slow-cooker', 'dietary', 'low-cholesterol', 'low-calorie', 'low-carb', 'low-in-something', 'meat', 'equipment']","[346.9, 24.0, 18.0, 42.0, 42.0, 30.0, 10.0]",5.0,"['in a slow cooker , combine the first nine ingredients', 'cover and cook on low for 7-9 hours or until meat is tender', 'add zucchini , cabbage , beans and macaroni', 'cook on high 30-45 minutes more or until the vegetables are tender', 'sprinkle individual servings with parmesan cheese']",this recipe came from a ,"beef stew meat, water, tomatoes, beef bouillon cube, onion, dried parsley, salt, ground thyme, ground pepper, zucchini, cabbage, garbanzo beans, elbow macaroni, parmesan cheese",14.0,346.9,24.0,18.0,42.0,42.0,30.0,10.0
fried  potatoes,37073.0,40.0,1533.0,2002-08-13,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'low-protein', 'healthy', '5-ingredients-or-less', 'side-dishes', 'potatoes', 'vegetables', 'oven', 'easy', 'dietary', 'low-sodium', 'low-cholesterol', 'low-saturated-fat', 'low-calorie', 'healthy-2', 'low-in-something', 'equipment']","[132.6, 8.0, 4.0, 3.0, 4.0, 5.0, 6.0]",14.0,"['preheat oven to 400 degrees', 'cut the potatoes into strips about 2 1 / 2 inches long by 1 / 4-inch thick', 'soak the potatoes in ice water for five minutes', 'drain the potatoes , then rinse thoroughly under cold water', 'press between paper towels to dry', 'transfer potatoes to a bowl , pour melted margarine over the potatoes and toss to coat them', 'spray baking sheet with non-stick spray', 'spread potatoes onto baking sheet', 'bake for 15 minutes', 'toss and turn', 'bake for five minutes', 'add herbs and toss', 'bake a final five minutes until the potatoes are brown and crisp', 'serve immediately']","my husband made these up last week, very tasty, he liked them because they were easy.","red potatoes, margarine, rosemary",3.0,132.6,8.0,4.0,3.0,4.0,5.0,6.0
george s at the cove  black bean soup,44123.0,90.0,35193.0,2002-10-25,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'soups-stews', 'beans', 'poultry', 'american', 'chicken', 'stove-top', 'dietary', 'gluten-free', 'comfort-food', 'californian', 'black-beans', 'free-of-something', 'meat', 'taste-mood', 'equipment', 'grilling', '4-hours-or-less']","[804.7, 108.0, 26.0, 19.0, 28.0, 214.0, 10.0]",11.0,"['in 1 / 4 cup butter , saute carrots , onion , celery and broccoli stems for 5 minutes', 'add thyme , oregano and basil', 'saute 5 minutes more', 'add wine and deglaze pan', 'add hot chicken stock and reduce by one-third', 'add worcestershire sauce , tabasco , smoked chicken , beans and broccoli florets', 'simmer 5 minutes', 'add cream , simmer 5 minutes more and season to taste', 'drop in remaining butter , piece by piece , stirring until melted and serve immediately', 'smoked chicken: on a covered grill , slightly smoke boneless chicken , cooking to medium rare', 'chef meskan uses applewood chips and does not allow the grill to become too hot']","an original recipe created by chef scott meskan, george's at the cove. we enjoyed this when we visited this restaurant in la jolla, california. this recipe is requested so often, they have it printed and ready at the hostess stand. it's unbeatable at the restaurant, but i do a pretty good job at home, too, if i do say so myself!","unsalted butter, carrot, onion, celery, broccoli stem, dried thyme, dried oregano, dried sweet basil leaves, dry white wine, chicken stock, worcestershire sauce, tabasco sauce, smoked chicken, black beans, broccoli floret, heavy cream, salt & fresh ground pepper, cornstarch",18.0,804.7,108.0,26.0,19.0,28.0,214.0,10.0
get the sensation  brownies,27087.0,70.0,37305.0,2002-05-03,"['weeknight', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'desserts', 'oven', 'easy', 'potluck', 'holiday-event', 'kid-friendly', 'picnic', 'vegetarian', 'cookies-and-brownies', 'chocolate', 'bar-cookies', 'brownies', 'dietary', 'gifts', 'comfort-food', 'taste-mood', 'to-go', 'equipment', 'number-of-servings', '4-hours-or-less']","[174.4, 13.0, 67.0, 5.0, 4.0, 26.0, 7.0]",11.0,"['preheat oven to 350 degrees', 'grease 13 x 9 baking pan', 'in a large bowl , whisk together butter , sugar and vanilla', 'add eggs and stir until well combined', 'combine dry ingredients and blend well with wet ingredients', 'reserve 2 cups of batter and set aside', 'spread remaining batter in prepared pan', 'arrange peppermint patties in a single layer over batter , about 1 / 2 inch apart', 'carefully spread reserved 2 cups of batter on top', 'bake for 50- 55 minutes or until brownies begin to pull away from sides of pan', 'cool completely on wire rack and cut into squares']",a yummy thick chocolate mint brownie from york peppermint patties! get the sensation!,"butter, sugar, vanilla, eggs, all-purpose flour, baking cocoa, baking powder, salt, miniature peppermint patties",9.0,174.4,13.0,67.0,5.0,4.0,26.0,7.0
global gourmet  taco casserole,59952.0,55.0,28604.0,2003-04-16,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'casseroles', 'main-dish', 'beef', 'vegetables', 'mexican', 'oven', 'easy', 'holiday-event', 'kid-friendly', 'dietary', 'spicy', 'one-dish-meal', 'seasonal', 'ground-beef', 'meat', 'taste-mood', 'equipment']","[456.8, 40.0, 34.0, 67.0, 57.0, 51.0, 9.0]",11.0,"['heat oven to 375 degrees', 'brown ground beef and onion over medium heat', 'drain', 'stir in tomato sauce , taco or other sauce , salt , pepper , tabasco , chiles , and cornmeal , adjusting for""hot"" taste preference and desired thickness', 'stir in more cornmeal , if desired', 'stir in corn and olives', 'transfer mixture to casserole dish', 'cover and bake for 30 to 40 minutes , or until bubbly and heated through', 'top with cheese immediately on removing from oven so cheese melts', 'garnish with corn chips just before serving to keep them crisp', 'serve with a cool fresh vegetable such as cucumber slices , avocado , or lettuce leaves , if desired']","hey! i found this in a cookbook that recognizes different kinds of food from around the world. my brother made this in the 7th grade for 'food and consumer science' (facs, or home ec) as the meal made on his own. everyone loved it, and i came across it the other day, and decided to post it! this can be served with warm flour tortillas and additional toppings can be put on like guacamole, chopped tomatoes, or sour cream. it is your choice!","ground beef, onion, tomato sauce, taco sauce, salt, pepper, tabasco sauce, hot chili pepper, cornmeal, whole kernel corn, sliced ripe olives, cheddar cheese",12.0,456.8,40.0,34.0,67.0,57.0,51.0,9.0
grilled  ranch bread,93249.0,13.0,91081.0,2004-06-11,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', '5-ingredients-or-less', 'appetizers', 'breads', 'easy', 'number-of-servings', '3-steps-or-less']","[1649.8, 91.0, 4.0, 128.0, 80.0, 160.0, 78.0]",4.0,"['cream the butter with the dressing mix', 'spread evenly on the bread halves', 'place under the broiler for 2-3 minutes , until golden and the butter begins to seep and bubble', 'serve hot']",buttery and ,"butter, dry ranch dressing mix, french bread",3.0,1649.8,91.0,4.0,128.0,80.0,160.0,78.0
grilled  venison burgers,54100.0,26.0,68357.0,2003-02-15,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'lunch', 'dietary', 'wild-game', 'deer', 'meat']","[190.9, 10.0, 10.0, 10.0, 45.0, 15.0, 2.0]",13.0,"['in bowl , mix dry ingredients', 'add venison and mix well', 'add liquid ingredients and mix well with a fork , until bread crumbs are barely noticeable', 'on plastic wrap , form into 8 patties , making them round and very flat-- like a fast-food burger', 'they can be cooked immediately , but i prefer to freeze them first', 'place them on a large cookie sheet and freeze them several hours', 'remove from freezer and place waxed paper between each burger as you stack them', 'i stack them in 2 1-quart freezer zip-lock bags', 'preheat cast iron skillet to very hot', 'cook frozen burgers until they are slightly charred on one side and then turn and cook until the other side is slightly charred and burgers are medium-well', 'do not overcook', 'turn burner off and leave burgers in the pan while you put condiments on your hamburger bun', 'if cooking thawed burgers , cook about 2-3 minutes per side']",delicious venison burgers with that ,"ground venison, egg substitute, non-fat powdered milk, water, fresh breadcrumb, onion, salt, black pepper, dry mustard, worcestershire sauce",10.0,190.9,10.0,10.0,10.0,45.0,15.0,2.0
healthy for them  yogurt popsicles,67664.0,10.0,91970.0,2003-07-26,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'occasion', 'low-protein', 'healthy', '5-ingredients-or-less', 'desserts', 'lunch', 'snacks', 'easy', 'kid-friendly', 'low-fat', 'summer', 'frozen-desserts', 'freezer', 'dietary', 'low-sodium', 'low-cholesterol', 'seasonal', 'low-saturated-fat', 'inexpensive', 'healthy-2', 'toddler-friendly', 'low-in-something', 'equipment', 'small-appliance', 'mixer', 'number-of-servings', '3-steps-or-less']","[164.6, 3.0, 5.0, 1.0, 4.0, 6.0, 11.0]",3.0,"['mix all the ingredients using a blender', 'pour into popsicle molds', 'freeze and enjoy !']","my children and their friends ask for my homemade popsicles morning, noon and night. i never turn them down; who am i to tell them that they are good for them! for variety i substitute different flavours of frozen juice - grape, fruit punch, tropical etc.","milk, frozen juice concentrate, plain yogurt",3.0,164.6,3.0,5.0,1.0,4.0,6.0,11.0
homemade  vegetable soup from a can,87098.0,12.0,70662.0,2004-03-20,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'clear-soups', 'soups-stews', 'vegetables', 'easy', 'beginner-cook', 'dietary', 'inexpensive']","[276.2, 3.0, 55.0, 18.0, 23.0, 2.0, 20.0]",6.0,"['combine all ingredients in large pot', 'bring to a boil and simmer for 3 minutes', 'serve', 'i use the tomatoes that come flavored with basil , oregano , and garlic', 'you can substitute whatever vegetables you like', ""if you don't want to use the zucchini , add a can of tomato sauce to give it some substance""]","my friend just made this for dinner the other night. when i found out it how easy it is to make, i was shocked. trick the non-cooks in your life into thinking you slaved for them...","low sodium chicken broth, diced tomatoes, zucchini, corn, potatoes, wax beans, green beans, carrots",8.0,276.2,3.0,55.0,18.0,23.0,2.0,20.0
how i got my family to eat spinach  spinach casserole,25775.0,50.0,37305.0,2002-04-22,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'casseroles', 'main-dish', 'side-dishes', 'eggs-dairy', 'vegetables', 'oven', 'easy', 'potluck', 'vegetarian', 'cheese', 'dietary', 'low-calorie', 'low-carb', 'inexpensive', 'low-in-something', 'to-go', 'equipment', 'grilling', 'number-of-servings']","[166.1, 16.0, 6.0, 32.0, 19.0, 26.0, 3.0]",5.0,"['preheat oven to 350 degrees', 'place spinach in strainer and squeeze all extra liquid from it', 'in a large bowl , combine spinach with the rest of ingredients , except croutons , and combine well', 'pour into a 2 quart casserole dish and top with croutons', 'bake for 35 to 40 minutes , or until bubbling around edges']","if spinach scares you, this is one recipe that contains spinach that you do not have to be afraid of! it is so delicious that even my picky kids like it. my mother-in-law makes this for get-togethers and she passed the recipe on to me. you can also use broccoli instead of the spinach, which she does often, but i have never tried...it is great the way it is! she also eats this hot or cold, but i only like it hot :) enjoy!","frozen chopped spinach, egg, salt, black pepper, onion, sharp cheddar cheese, condensed cream of mushroom soup, crouton",8.0,166.1,16.0,6.0,32.0,19.0,26.0,3.0
i can t believe it s low fat  creamy potato salad,33165.0,30.0,40493.0,2002-07-04,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'salads', 'potatoes', 'vegetables', 'dietary']","[152.5, 2.0, 20.0, 13.0, 7.0, 3.0, 10.0]",12.0,"['cut potatoes into 1 / 2"" pieces', 'place in medium saucepan', 'add water to cover', 'bring to a boil', 'cover , reduce heat , and simmer 15-20 minutes or until tender', 'drain and cool', 'combine potato , chopped green onion , and pimemto in a large bowl', 'toss gently', 'combine mayonnaise and next 9 ingredients', 'stir well', 'add to potato mixture , tossing gently to coat', 'cover and chill']",the name says it all. you have to try it to believe it!,"red potatoes, green onion, diced pimentos, fat-free mayonnaise, plain low-fat yogurt, low-fat sour cream, sugar, prepared mustard, white wine vinegar, salt, pepper, celery seed, garlic",13.0,152.5,2.0,20.0,13.0,7.0,3.0,10.0
i can t believe it s spinach,38798.0,30.0,1533.0,2002-08-29,"['30-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'appetizers', 'side-dishes', 'vegetables', 'oven', 'refrigerator', 'freezer', 'dietary', 'oamc-freezer-make-ahead', 'low-carb', 'low-in-something', 'equipment', 'number-of-servings']","[53.8, 5.0, 2.0, 3.0, 3.0, 3.0, 1.0]",5.0,"['combine all ingredients in a large bowl and mix well', 'shape into one-inch balls', 'cover and refrigerate or freeze until ready to bake', 'preheat oven to 350 degrees', 'place on ungreased baking sheet and bake until light brown']","these were so go, it surprised even me.","frozen chopped spinach, eggs, garlic powder, soft breadcrumbs, oregano, margarine, sage, onion",8.0,53.8,5.0,2.0,3.0,3.0,3.0,1.0
i don t feel like cooking tonight  casserole,22123.0,45.0,34687.0,2002-03-11,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'casseroles', 'main-dish', 'beef', 'oven', 'easy', 'kid-friendly', 'dietary', 'comfort-food', 'ground-beef', 'meat', 'taste-mood', 'equipment']","[647.6, 57.0, 57.0, 58.0, 54.0, 53.0, 16.0]",6.0,"['brown onion and meat in the oil , drain any excess moisture', 'remove from heat and add both cans of soup and the veggies of your choice and stir', 'salt and pepper to taste', 'pour mixture into a greased 9x9 inch baking pan', 'spoon the prepared cornbread mix over the top and spread even', 'bake in a preheated 350 degree oven for 35-45 minutes , or until cornbread is done']","this is a hearty and filling casserole for those nights when a long time in the kitchen is just out of the question. very tasty and easy to make, my family requests it often. enjoy!","ground beef, onion, frozen vegetables, cream of mushroom soup, condensed cream of mushroom & garlic soup, salt & pepper, cooking oil, cornbread mix",8.0,647.6,57.0,57.0,58.0,54.0,53.0,16.0
